Beds;Host Id;Year;Day;Month;Name;Neighbourhood;Number Of Reviews;Number of Records;Price;Property Type;Review Scores Rating;Room Type;Location
1;5162530;;;;1 Bedroom in Prime Williamsburg;Brooklyn;0;1;145;Apartment;None;Entire home/apt;ZIP:11249
1;33134899;;;;Sunny, Private room in Bushwick;Brooklyn;1;1;37;Apartment;None;Private room;ZIP:11206
1;39608626;;;;Sunny Room in Harlem;Manhattan;1;1;28;Apartment;None;Private room;ZIP:10032
3;500;2008;26;6;Gorgeous 1 BR with Private Balcony;Manhattan;0;1;199;Apartment;None;Entire home/apt;ZIP:10024
3;500;2008;26;6;Trendy Times Square Loft;Manhattan;39;1;549;Apartment;96;Private room;ZIP:10036
1;1039;2008;25;7;Big Greenpoint 1BD w/ Skyline View;Brooklyn;4;1;149;Apartment;100;Entire home/apt;ZIP:11222
1;1783;2008;12;8;Amazing Also;Manhattan;9;1;250;Apartment;100;Entire home/apt;ZIP:10004
1;2078;2008;15;8;Colorful, quiet, & near the subway!;Brooklyn;80;1;90;Apartment;94;Private room;ZIP:11201
2;2339;2008;20;8;East Village Cocoon: 2 Bedroom Flat;Manhattan;95;1;270;Apartment;90;Entire home/apt;ZIP:10009
2;2339;2008;20;8;Lovely 2 Bedroom East Village Nest;Manhattan;23;1;290;Apartment;96;Entire home/apt;ZIP:10009
2;2571;2008;27;8;THE PUTNAM;Brooklyn;14;1;170;Apartment;98;Entire home/apt;ZIP:11221
2;2758;2008;6;9;Stay at Chez Chic budget room #1;Manhattan;120;1;59;Apartment;93;Private room;ZIP:10026
2;2758;2008;6;9;Stay at Chez Chic budget Room #2;Manhattan;81;1;49;Apartment;91;Private room;ZIP:10026
1;2787;2008;7;9;Renovated and spacious townhome;Brooklyn;0;1;68;House;None;Private room;ZIP:11223
1;2845;2008;9;9;Midtown Castle;Manhattan;17;1;285;Apartment;97;Entire home/apt;ZIP:10018
1;2881;2008;10;9;Newly renovated historic brownstone;Brooklyn;32;1;75;Apartment;95;Private room;ZIP:11216
1;2965;2008;14;9;Large Bedroom in 3-bedroom Apt.;Manhattan;52;1;145;Apartment;99;Private room;ZIP:10025
1;3211;2008;25;9;Elegant NYC, 10mins to Manhattan!;Queens;3;1;100;Apartment;93;Private room;ZIP:11106
3;3227;2008;26;9;Priv Apt,Garden,BBQ,A/C,BigTV,for 4;Manhattan;171;1;150;Apartment;85;Entire home/apt;ZIP:10001
3;3226;2008;26;9;Great 3 Bed Apt Tribeca / Soho;Manhattan;0;1;700;Apartment;None;Entire home/apt;ZIP:10013
1;3226;2008;26;9;Huge Room Soho LOFT off WBroadway;Manhattan;9;1;125;Apartment;86;Private room;ZIP:10013
1;3226;2008;26;9;Master Room Soho LOFT off WBroadway;Manhattan;0;1;175;Apartment;None;Private room;ZIP:10013
1;3415;2008;2;10;Beautiful Furnished Master Bedroom;Queens;0;1;90;House;None;Private room;ZIP:11365
1;3563;2008;10;10;16' x 11' Furnished BR with Balcony;Brooklyn;1;1;40;Apartment;100;Private room;ZIP:11220
1;3647;2008;14;10;Conveniently Queens with Two Rooms;Queens;4;1;89;Apartment;93;Entire home/apt;ZIP:11373
1;3647;2008;14;10;Quality Cozy Studio Next to Subway;Queens;16;1;95;Apartment;94;Entire home/apt;ZIP:11373
2;3647;2008;14;10;Queens Quality Convenient Apartment;Queens;9;1;99;Apartment;100;Entire home/apt;ZIP:11373
1;3867;2008;29;10;1 Bedroom Apartment in Chinatown!;Manhattan;19;1;149;Apartment;93;Entire home/apt;ZIP:10002
4;3867;2008;29;10;3 bedroom apartment in Chinatown!;Manhattan;2;1;499;Apartment;80;Entire home/apt;ZIP:10038
4;3867;2008;29;10;Private bedroom in spacious loft!;Manhattan;0;1;99;Apartment;None;Private room;ZIP:10038
1;3867;2008;29;10;Share a bedroom in a huge Apartment;Manhattan;0;1;99;Apartment;None;Shared room;ZIP:10038
1;3867;2008;29;10;Share a bedroom in a huge Apartment;Manhattan;0;1;99;Apartment;None;Shared room;ZIP:10038
1;4177;2008;9;11;++ Brooklyn Penthouse Guestroom ++;Brooklyn;16;1;125;Apartment;94;Private room;ZIP:11206
2;4267;2008;12;11;Robin's Nest on the fabulous UWS;Manhattan;28;1;170;Apartment;88;Entire home/apt;ZIP:10024
1;4267;2008;12;11;Airy Room on the fabulous UWS;Manhattan;62;1;120;Apartment;92;Private room;ZIP:10024
1;4396;2008;19;11;Large Room, Amazing E. Village Apt;Manhattan;23;1;79;Apartment;89;Private room;ZIP:10009
3;4488;2008;21;11;Sunny & Bright Harlem Home;Manhattan;6;1;125;Apartment;97;Entire home/apt;ZIP:10027
